parameter_value,profile,cm_retention_mean,cm_retention_ci_lower,cm_retention_ci_upper,sm2_retention_mean,sm2_retention_ci_lower,sm2_retention_ci_upper,advantage_mean,advantage_ci_lower,advantage_ci_upper
0.1000,Med-Over,0.273639,0.272384,0.274893,0.266275,0.264496,0.268053,0.007364,0.006482,0.008247
0.1000,Med-Under,0.273855,0.272496,0.275214,0.259497,0.255241,0.263754,0.014358,0.010880,0.017837
0.1000,Med-Well,0.273836,0.272498,0.275175,0.262676,0.260651,0.264701,0.011160,0.009159,0.013161
0.2000,Med-Over,0.278201,0.276340,0.280063,0.269176,0.267621,0.270731,0.009025,0.007913,0.010138
0.2000,Med-Under,0.278108,0.276397,0.279818,0.260933,0.258356,0.263510,0.017175,0.015372,0.018977
0.2000,Med-Well,0.278046,0.276250,0.279841,0.265715,0.263203,0.268227,0.012331,0.010615,0.014046
0.3000,Med-Over,0.282651,0.280923,0.284378,0.274047,0.271560,0.276533,0.008604,0.007209,0.009999
0.3000,Med-Under,0.282319,0.280506,0.284131,0.268957,0.265832,0.272083,0.013361,0.010816,0.015907
0.3000,Med-Well,0.282251,0.280283,0.284219,0.270592,0.267235,0.273949,0.011659,0.009091,0.014227
