profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
Extreme-Under,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,Calibration Only,retention_7day,0.245221,0.001041,0.244833,0.245610,30,4.2616,large
Extreme-Under,Calibration Only,retention_1day,0.292904,0.002138,0.292106,0.293703,30,N/A,N/A
Extreme-Under,Calibration Only,retention_30day,0.202862,0.000066,0.202838,0.202887,30,N/A,N/A
Extreme-Under,Calibration Only,final_ece,0.263544,0.093826,0.228503,0.298585,30,0.8987,large
Extreme-Under,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,SM-2 Baseline,retention_7day,0.237263,0.002427,0.236356,0.238169,30,N/A,N/A
Extreme-Under,SM-2 Baseline,retention_1day,0.276554,0.004987,0.274691,0.278416,30,N/A,N/A
Extreme-Under,SM-2 Baseline,retention_30day,0.202358,0.000154,0.202301,0.202416,30,N/A,N/A
Extreme-Under,SM-2 Baseline,final_ece,0.357609,0.114494,0.314849,0.400369,30,N/A,N/A
Extreme-Under,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,BKT-Only,retention_7day,0.245438,0.001116,0.245022,0.245855,30,4.3279,large
Extreme-Under,BKT-Only,retention_1day,0.293350,0.002292,0.292494,0.294206,30,N/A,N/A
Extreme-Under,BKT-Only,retention_30day,0.202876,0.000071,0.202850,0.202902,30,N/A,N/A
Extreme-Under,BKT-Only,final_ece,0.257466,0.091753,0.223199,0.291733,30,0.9652,large
Extreme-Under,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Fast-Forget-Over,Full CalibrateMe,retention_7day,0.222214,0.000576,0.221999,0.222429,30,2.4986,large
Fast-Forget-Over,Full CalibrateMe,retention_1day,0.273753,0.001911,0.273040,0.274467,30,N/A,N/A
Fast-Forget-Over,Full CalibrateMe,retention_30day,0.200223,0.000006,0.200221,0.200225,30,N/A,N/A
Fast-Forget-Over,Full CalibrateMe,final_ece,0.182882,0.072321,0.155872,0.209892,30,0.9142,large
Fast-Forget-Over,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Fast-Forget-Over,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Fast-Forget-Over,No Dual-Process,retention_7day,0.222128,0.000544,0.221925,0.222331,30,2.4250,large
Fast-Forget-Over,No Dual-Process,retention_1day,0.273467,0.001806,0.272793,0.274142,30,N/A,N/A
Fast-Forget-Over,No Dual-Process,retention_30day,0.200222,0.000005,0.200220,0.200224,30,N/A,N/A
Fast-Forget-Over,No Dual-Process,final_ece,0.180879,0.074452,0.153073,0.208685,30,0.9281,large
Fast-Forget-Over,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Fast-Forget-Over,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Fast-Forget-Over,No Scaffolding,retention_7day,0.222222,0.000570,0.222009,0.222435,30,2.5147,large
Fast-Forget-Over,No Scaffolding,retention_1day,0.273779,0.001892,0.273073,0.274486,30,N/A,N/A
Fast-Forget-Over,No Scaffolding,retention_30day,0.200223,0.000006,0.200221,0.200226,30,N/A,N/A
Fast-Forget-Over,No Scaffolding,final_ece,0.198994,0.072011,0.172100,0.225889,30,0.6727,medium
Fast-Forget-Over,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Fast-Forget-Over,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Fast-Forget-Over,Calibration Only,retention_7day,0.222226,0.000562,0.222016,0.222436,30,2.5287,large
Fast-Forget-Over,Calibration Only,retention_1day,0.273792,0.001864,0.273096,0.274489,30,N/A,N/A
Fast-Forget-Over,Calibration Only,retention_30day,0.200223,0.000006,0.200221,0.200226,30,N/A,N/A
Fast-Forget-Over,Calibration Only,final_ece,0.195212,0.069582,0.169225,0.221199,30,0.7448,medium
Fast-Forget-Over,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Fast-Forget-Over,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Fast-Forget-Over,SM-2 Baseline,retention_7day,0.220195,0.000987,0.219827,0.220564,30,N/A,N/A
Fast-Forget-Over,SM-2 Baseline,retention_1day,0.267051,0.003277,0.265827,0.268275,30,N/A,N/A
Fast-Forget-Over,SM-2 Baseline,retention_30day,0.200203,0.000010,0.200199,0.200207,30,N/A,N/A
Fast-Forget-Over,SM-2 Baseline,final_ece,0.243452,0.059571,0.221204,0.265700,30,N/A,N/A
Fast-Forget-Over,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Fast-Forget-Over,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Fast-Forget-Over,BKT-Only,retention_7day,0.222196,0.000574,0.221981,0.222410,30,2.4772,large
Fast-Forget-Over,BKT-Only,retention_1day,0.273692,0.001906,0.272980,0.274404,30,N/A,N/A
Fast-Forget-Over,BKT-Only,retention_30day,0.200223,0.000006,0.200221,0.200225,30,N/A,N/A
Fast-Forget-Over,BKT-Only,final_ece,0.187032,0.075816,0.158717,0.215347,30,0.8275,large
Fast-Forget-Over,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Fast-Forget-Over,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Noisy-Confidence,Full CalibrateMe,retention_7day,0.278468,0.001754,0.277813,0.279124,30,4.5126,large
Noisy-Confidence,Full CalibrateMe,retention_1day,0.342979,0.003197,0.341785,0.344172,30,N/A,N/A
Noisy-Confidence,Full CalibrateMe,retention_30day,0.207867,0.000176,0.207801,0.207933,30,N/A,N/A
Noisy-Confidence,Full CalibrateMe,final_ece,0.186938,0.083516,0.155747,0.218129,30,0.4525,small
Noisy-Confidence,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Noisy-Confidence,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Noisy-Confidence,No Dual-Process,retention_7day,0.278367,0.001732,0.277720,0.279014,30,4.4830,large
Noisy-Confidence,No Dual-Process,retention_1day,0.342793,0.003156,0.341615,0.343972,30,N/A,N/A
Noisy-Confidence,No Dual-Process,retention_30day,0.207857,0.000174,0.207792,0.207922,30,N/A,N/A
Noisy-Confidence,No Dual-Process,final_ece,0.186418,0.066365,0.161633,0.211204,30,0.5056,medium
Noisy-Confidence,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Noisy-Confidence,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Noisy-Confidence,No Scaffolding,retention_7day,0.278664,0.001763,0.278006,0.279322,30,4.6104,large
Noisy-Confidence,No Scaffolding,retention_1day,0.343335,0.003212,0.342135,0.344535,30,N/A,N/A
Noisy-Confidence,No Scaffolding,retention_30day,0.207887,0.000177,0.207821,0.207953,30,N/A,N/A
Noisy-Confidence,No Scaffolding,final_ece,0.173320,0.067905,0.147960,0.198681,30,0.6693,medium
Noisy-Confidence,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Noisy-Confidence,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Noisy-Confidence,Calibration Only,retention_7day,0.278618,0.001763,0.277960,0.279277,30,4.5846,large
Noisy-Confidence,Calibration Only,retention_1day,0.343252,0.003213,0.342052,0.344452,30,N/A,N/A
Noisy-Confidence,Calibration Only,retention_30day,0.207882,0.000177,0.207816,0.207948,30,N/A,N/A
Noisy-Confidence,Calibration Only,final_ece,0.180276,0.081314,0.149907,0.210645,30,0.5375,medium
Noisy-Confidence,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Noisy-Confidence,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Noisy-Confidence,SM-2 Baseline,retention_7day,0.270306,0.001862,0.269611,0.271001,30,N/A,N/A
Noisy-Confidence,SM-2 Baseline,retention_1day,0.328106,0.003392,0.326839,0.329372,30,N/A,N/A
Noisy-Confidence,SM-2 Baseline,retention_30day,0.207049,0.000187,0.206979,0.207118,30,N/A,N/A
Noisy-Confidence,SM-2 Baseline,final_ece,0.225485,0.086811,0.193063,0.257907,30,N/A,N/A
Noisy-Confidence,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Noisy-Confidence,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Noisy-Confidence,BKT-Only,retention_7day,0.278713,0.001740,0.278063,0.279363,30,4.6663,large
Noisy-Confidence,BKT-Only,retention_1day,0.343424,0.003170,0.342240,0.344608,30,N/A,N/A
Noisy-Confidence,BKT-Only,retention_30day,0.207892,0.000174,0.207827,0.207957,30,N/A,N/A
Noisy-Confidence,BKT-Only,final_ece,0.179598,0.078560,0.150258,0.208939,30,0.5543,medium
Noisy-Confidence,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Noisy-Confidence,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
HighAb-Extreme-Over,Full CalibrateMe,retention_7day,0.437339,0.004366,0.435708,0.438969,30,4.2397,large
HighAb-Extreme-Over,Full CalibrateMe,retention_1day,0.520374,0.005894,0.518173,0.522575,30,N/A,N/A
HighAb-Extreme-Over,Full CalibrateMe,retention_30day,0.275150,0.001383,0.274634,0.275667,30,N/A,N/A
HighAb-Extreme-Over,Full CalibrateMe,final_ece,0.203499,0.063038,0.179955,0.227042,30,1.0158,large
HighAb-Extreme-Over,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
HighAb-Extreme-Over,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
HighAb-Extreme-Over,No Dual-Process,retention_7day,0.437010,0.004239,0.435427,0.438593,30,4.2206,large
HighAb-Extreme-Over,No Dual-Process,retention_1day,0.519930,0.005722,0.517793,0.522067,30,N/A,N/A
HighAb-Extreme-Over,No Dual-Process,retention_30day,0.275046,0.001342,0.274545,0.275547,30,N/A,N/A
HighAb-Extreme-Over,No Dual-Process,final_ece,0.191906,0.056685,0.170736,0.213077,30,1.2425,large
HighAb-Extreme-Over,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
HighAb-Extreme-Over,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
HighAb-Extreme-Over,No Scaffolding,retention_7day,0.437288,0.004436,0.435632,0.438945,30,4.2036,large
HighAb-Extreme-Over,No Scaffolding,retention_1day,0.520306,0.005988,0.518070,0.522542,30,N/A,N/A
HighAb-Extreme-Over,No Scaffolding,retention_30day,0.275134,0.001404,0.274610,0.275659,30,N/A,N/A
HighAb-Extreme-Over,No Scaffolding,final_ece,0.302682,0.093032,0.267937,0.337427,30,-0.3764,small
HighAb-Extreme-Over,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
HighAb-Extreme-Over,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
HighAb-Extreme-Over,Calibration Only,retention_7day,0.437288,0.004436,0.435632,0.438945,30,4.2036,large
HighAb-Extreme-Over,Calibration Only,retention_1day,0.520306,0.005988,0.518070,0.522542,30,N/A,N/A
HighAb-Extreme-Over,Calibration Only,retention_30day,0.275134,0.001404,0.274610,0.275659,30,N/A,N/A
HighAb-Extreme-Over,Calibration Only,final_ece,0.302682,0.093032,0.267937,0.337427,30,-0.3764,small
HighAb-Extreme-Over,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
HighAb-Extreme-Over,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
HighAb-Extreme-Over,SM-2 Baseline,retention_7day,0.416309,0.005490,0.414258,0.418359,30,N/A,N/A
HighAb-Extreme-Over,SM-2 Baseline,retention_1day,0.491986,0.007411,0.489218,0.494754,30,N/A,N/A
HighAb-Extreme-Over,SM-2 Baseline,retention_30day,0.268491,0.001738,0.267842,0.269141,30,N/A,N/A
HighAb-Extreme-Over,SM-2 Baseline,final_ece,0.271573,0.070770,0.245142,0.298004,30,N/A,N/A
HighAb-Extreme-Over,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
HighAb-Extreme-Over,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
HighAb-Extreme-Over,BKT-Only,retention_7day,0.436707,0.004173,0.435149,0.438266,30,4.1833,large
HighAb-Extreme-Over,BKT-Only,retention_1day,0.519522,0.005632,0.517418,0.521625,30,N/A,N/A
HighAb-Extreme-Over,BKT-Only,retention_30day,0.274950,0.001321,0.274457,0.275444,30,N/A,N/A
HighAb-Extreme-Over,BKT-Only,final_ece,0.294456,0.096976,0.258238,0.330674,30,-0.2696,small
HighAb-Extreme-Over,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
HighAb-Extreme-Over,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Minimal-Bias,Full CalibrateMe,retention_7day,0.278562,0.001852,0.277870,0.279254,30,4.4996,large
Minimal-Bias,Full CalibrateMe,retention_1day,0.343149,0.003374,0.341889,0.344410,30,N/A,N/A
Minimal-Bias,Full CalibrateMe,retention_30day,0.207877,0.000186,0.207807,0.207946,30,N/A,N/A
Minimal-Bias,Full CalibrateMe,final_ece,0.208441,0.079530,0.178738,0.238143,30,0.0307,negligible
Minimal-Bias,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Minimal-Bias,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Minimal-Bias,No Dual-Process,retention_7day,0.277886,0.001589,0.277292,0.278479,30,4.3929,large
Minimal-Bias,No Dual-Process,retention_1day,0.341917,0.002895,0.340836,0.342998,30,N/A,N/A
Minimal-Bias,No Dual-Process,retention_30day,0.207809,0.000159,0.207749,0.207868,30,N/A,N/A
Minimal-Bias,No Dual-Process,final_ece,0.197993,0.063986,0.174096,0.221890,30,0.1652,negligible
Minimal-Bias,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Minimal-Bias,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Minimal-Bias,No Scaffolding,retention_7day,0.278533,0.001793,0.277863,0.279202,30,4.5288,large
Minimal-Bias,No Scaffolding,retention_1day,0.343096,0.003267,0.341876,0.344316,30,N/A,N/A
Minimal-Bias,No Scaffolding,retention_30day,0.207874,0.000180,0.207806,0.207941,30,N/A,N/A
Minimal-Bias,No Scaffolding,final_ece,0.168321,0.061829,0.145230,0.191413,30,0.5459,medium
Minimal-Bias,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Minimal-Bias,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Minimal-Bias,Calibration Only,retention_7day,0.278162,0.001640,0.277549,0.278774,30,4.4772,large
Minimal-Bias,Calibration Only,retention_1day,0.342420,0.002988,0.341304,0.343536,30,N/A,N/A
Minimal-Bias,Calibration Only,retention_30day,0.207836,0.000164,0.207775,0.207898,30,N/A,N/A
Minimal-Bias,Calibration Only,final_ece,0.194200,0.074588,0.166344,0.222057,30,0.2016,small
Minimal-Bias,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Minimal-Bias,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Minimal-Bias,SM-2 Baseline,retention_7day,0.267616,0.002899,0.266533,0.268699,30,N/A,N/A
Minimal-Bias,SM-2 Baseline,retention_1day,0.323204,0.005283,0.321231,0.325177,30,N/A,N/A
Minimal-Bias,SM-2 Baseline,retention_30day,0.206779,0.000291,0.206671,0.206888,30,N/A,N/A
Minimal-Bias,SM-2 Baseline,final_ece,0.211075,0.091893,0.176755,0.245395,30,N/A,N/A
Minimal-Bias,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Minimal-Bias,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Minimal-Bias,BKT-Only,retention_7day,0.278540,0.001696,0.277906,0.279173,30,4.5990,large
Minimal-Bias,BKT-Only,retention_1day,0.343109,0.003090,0.341954,0.344263,30,N/A,N/A
Minimal-Bias,BKT-Only,retention_30day,0.207874,0.000170,0.207811,0.207938,30,N/A,N/A
Minimal-Bias,BKT-Only,final_ece,0.176641,0.067918,0.151275,0.202007,30,0.4262,small
Minimal-Bias,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Minimal-Bias,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
