profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
Low-Under,Calibration Only,retention_7day,0.220687,0.000546,0.220483,0.220891,30,3.5363,large
Low-Under,Calibration Only,retention_1day,0.250882,0.001344,0.250380,0.251384,30,N/A,N/A
Low-Under,Calibration Only,retention_30day,0.200657,0.000017,0.200650,0.200663,30,N/A,N/A
Low-Under,Calibration Only,final_ece,0.239648,0.094999,0.204169,0.275128,30,0.5614,medium
Low-Under,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Under,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Under,SM-2 Baseline,retention_7day,0.218432,0.000718,0.218164,0.218700,30,N/A,N/A
Low-Under,SM-2 Baseline,retention_1day,0.245335,0.001765,0.244676,0.245994,30,N/A,N/A
Low-Under,SM-2 Baseline,retention_30day,0.200585,0.000023,0.200577,0.200594,30,N/A,N/A
Low-Under,SM-2 Baseline,final_ece,0.297304,0.109876,0.256268,0.338340,30,N/A,N/A
Low-Under,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Under,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Under,BKT-Only,retention_7day,0.220747,0.000505,0.220558,0.220936,30,3.7305,large
Low-Under,BKT-Only,retention_1day,0.251029,0.001242,0.250565,0.251493,30,N/A,N/A
Low-Under,BKT-Only,retention_30day,0.200659,0.000016,0.200653,0.200665,30,N/A,N/A
Low-Under,BKT-Only,final_ece,0.235327,0.094457,0.200049,0.270604,30,0.6049,medium
Low-Under,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Under,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Well,Full CalibrateMe,retention_7day,0.220747,0.000516,0.220554,0.220939,30,3.3426,large
Low-Well,Full CalibrateMe,retention_1day,0.251028,0.001268,0.250555,0.251502,30,N/A,N/A
Low-Well,Full CalibrateMe,retention_30day,0.200659,0.000016,0.200653,0.200665,30,N/A,N/A
Low-Well,Full CalibrateMe,final_ece,0.201408,0.087965,0.168555,0.234261,30,0.1467,negligible
Low-Well,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Well,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Well,No Dual-Process,retention_7day,0.220642,0.000483,0.220461,0.220822,30,3.2454,large
Low-Well,No Dual-Process,retention_1day,0.250770,0.001187,0.250327,0.251213,30,N/A,N/A
Low-Well,No Dual-Process,retention_30day,0.200655,0.000015,0.200650,0.200661,30,N/A,N/A
Low-Well,No Dual-Process,final_ece,0.202455,0.082310,0.171714,0.233196,30,0.1391,negligible
Low-Well,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Well,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Well,No Scaffolding,retention_7day,0.220735,0.000511,0.220545,0.220926,30,3.3344,large
Low-Well,No Scaffolding,retention_1day,0.251001,0.001257,0.250531,0.251471,30,N/A,N/A
Low-Well,No Scaffolding,retention_30day,0.200658,0.000016,0.200652,0.200664,30,N/A,N/A
Low-Well,No Scaffolding,final_ece,0.198070,0.089730,0.164559,0.231582,30,0.1838,negligible
Low-Well,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Well,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Well,Calibration Only,retention_7day,0.220628,0.000499,0.220441,0.220814,30,3.1930,large
Low-Well,Calibration Only,retention_1day,0.250736,0.001227,0.250277,0.251194,30,N/A,N/A
Low-Well,Calibration Only,retention_30day,0.200655,0.000016,0.200649,0.200661,30,N/A,N/A
Low-Well,Calibration Only,final_ece,0.196738,0.083515,0.165547,0.227929,30,0.2068,small
Low-Well,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Well,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Well,SM-2 Baseline,retention_7day,0.218545,0.000776,0.218255,0.218834,30,N/A,N/A
Low-Well,SM-2 Baseline,retention_1day,0.245612,0.001909,0.244900,0.246325,30,N/A,N/A
Low-Well,SM-2 Baseline,retention_30day,0.200589,0.000025,0.200580,0.200598,30,N/A,N/A
Low-Well,SM-2 Baseline,final_ece,0.213951,0.082973,0.182962,0.244939,30,N/A,N/A
Low-Well,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Well,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Well,BKT-Only,retention_7day,0.220765,0.000510,0.220575,0.220956,30,3.3828,large
Low-Well,BKT-Only,retention_1day,0.251074,0.001254,0.250606,0.251543,30,N/A,N/A
Low-Well,BKT-Only,retention_30day,0.200659,0.000016,0.200653,0.200665,30,N/A,N/A
Low-Well,BKT-Only,final_ece,0.205620,0.089691,0.172123,0.239118,30,0.0964,negligible
Low-Well,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Well,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Over,Full CalibrateMe,retention_7day,0.278597,0.001839,0.277910,0.279283,30,4.1043,large
Med-Over,Full CalibrateMe,retention_1day,0.343213,0.003350,0.341961,0.344464,30,N/A,N/A
Med-Over,Full CalibrateMe,retention_30day,0.207880,0.000184,0.207811,0.207949,30,N/A,N/A
Med-Over,Full CalibrateMe,final_ece,0.196050,0.073534,0.168587,0.223513,30,0.8627,large
Med-Over,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Over,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Over,No Dual-Process,retention_7day,0.278457,0.001698,0.277823,0.279092,30,4.1642,large
Med-Over,No Dual-Process,retention_1day,0.342959,0.003094,0.341803,0.344114,30,N/A,N/A
Med-Over,No Dual-Process,retention_30day,0.207866,0.000170,0.207802,0.207930,30,N/A,N/A
Med-Over,No Dual-Process,final_ece,0.188597,0.080872,0.158393,0.218801,30,0.9169,large
Med-Over,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Over,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Over,No Scaffolding,retention_7day,0.278619,0.001775,0.277956,0.279282,30,4.1744,large
Med-Over,No Scaffolding,retention_1day,0.343253,0.003234,0.342045,0.344461,30,N/A,N/A
