profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
High-Under,Calibration Only,final_ece,0.252793,0.070137,0.226599,0.278988,30,0.3154,small
High-Under,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Under,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Under,SM-2 Baseline,retention_7day,0.401968,0.004449,0.400307,0.403630,30,N/A,N/A
High-Under,SM-2 Baseline,retention_1day,0.472629,0.006006,0.470386,0.474872,30,N/A,N/A
High-Under,SM-2 Baseline,retention_30day,0.263951,0.001409,0.263424,0.264477,30,N/A,N/A
High-Under,SM-2 Baseline,final_ece,0.277151,0.083720,0.245884,0.308418,30,N/A,N/A
High-Under,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Under,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Under,BKT-Only,retention_7day,0.436600,0.004412,0.434952,0.438247,30,7.8159,large
High-Under,BKT-Only,retention_1day,0.519376,0.005956,0.517152,0.521600,30,N/A,N/A
High-Under,BKT-Only,retention_30day,0.274916,0.001397,0.274394,0.275438,30,N/A,N/A
High-Under,BKT-Only,final_ece,0.235704,0.064956,0.211444,0.259963,30,0.5532,medium
High-Under,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Under,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Well,Full CalibrateMe,retention_7day,0.436753,0.004115,0.435216,0.438289,30,6.8571,large
High-Well,Full CalibrateMe,retention_1day,0.519583,0.005554,0.517508,0.521657,30,N/A,N/A
High-Well,Full CalibrateMe,retention_30day,0.274965,0.001303,0.274478,0.275451,30,N/A,N/A
High-Well,Full CalibrateMe,final_ece,0.221677,0.069651,0.195664,0.247689,30,0.3989,small
High-Well,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Well,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Well,No Dual-Process,retention_7day,0.435270,0.003734,0.433875,0.436664,30,6.7922,large
High-Well,No Dual-Process,retention_1day,0.517581,0.005040,0.515698,0.519463,30,N/A,N/A
High-Well,No Dual-Process,retention_30day,0.274495,0.001182,0.274053,0.274937,30,N/A,N/A
High-Well,No Dual-Process,final_ece,0.211168,0.081492,0.180732,0.241603,30,0.5074,medium
High-Well,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Well,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Well,No Scaffolding,retention_7day,0.436908,0.004086,0.435382,0.438434,30,6.9154,large
High-Well,No Scaffolding,retention_1day,0.519792,0.005515,0.517733,0.521852,30,N/A,N/A
High-Well,No Scaffolding,retention_30day,0.275014,0.001294,0.274531,0.275497,30,N/A,N/A
High-Well,No Scaffolding,final_ece,0.223728,0.070820,0.197278,0.250177,30,0.3651,small
High-Well,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Well,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Well,Calibration Only,retention_7day,0.435332,0.003894,0.433878,0.436787,30,6.6883,large
High-Well,Calibration Only,retention_1day,0.517665,0.005257,0.515702,0.519628,30,N/A,N/A
High-Well,Calibration Only,retention_30day,0.274515,0.001233,0.274054,0.274975,30,N/A,N/A
High-Well,Calibration Only,final_ece,0.227576,0.087826,0.194775,0.260377,30,0.2710,small
High-Well,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Well,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Well,SM-2 Baseline,retention_7day,0.407205,0.004495,0.405526,0.408884,30,N/A,N/A
High-Well,SM-2 Baseline,retention_1day,0.479698,0.006068,0.477432,0.481964,30,N/A,N/A
High-Well,SM-2 Baseline,retention_30day,0.265609,0.001423,0.265077,0.266140,30,N/A,N/A
High-Well,SM-2 Baseline,final_ece,0.248460,0.064524,0.224362,0.272558,30,N/A,N/A
High-Well,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Well,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Well,BKT-Only,retention_7day,0.436661,0.004436,0.435004,0.438318,30,6.5963,large
High-Well,BKT-Only,retention_1day,0.519459,0.005988,0.517223,0.521695,30,N/A,N/A
High-Well,BKT-Only,retention_30day,0.274936,0.001405,0.274411,0.275460,30,N/A,N/A
High-Well,BKT-Only,final_ece,0.203513,0.062963,0.179998,0.227029,30,0.7051,medium
High-Well,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Well,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
